127.0.0.1 - - [20/Oct/2017:22:39:42 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:39:43 +0900] "GET /auc/ HTTP/1.1" 200 6727
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:39:43 +0900] "GET /auc/resources/css/gstyle1.css HTTP/1.1" 200 127074
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:39:43 +0900] "GET /auc/resources/css/headerstyle1.css HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:39:43 +0900] "GET /auc/resources/css/gstyle3.css HTTP/1.1" 200 35492
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:39:43 +0900] "GET /auc/resources/css/gstyle2.css HTTP/1.1" 200 30503
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:39:45 +0900] "GET /auc/resources/images/icon_home.png HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:39:45 +0900] "GET /auc/resources/images/btn_search.png HTTP/1.1" 200 53999
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:39:45 +0900] "GET /auc/resources/images/Logo.png HTTP/1.1" 200 8943
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:39:46 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:40:54 +0900] "GET /auc/user/login HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:40:54 +0900] "GET /auc/resources/images/A_login_01.gif HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:40:54 +0900] "GET /auc/resources/images/A_login_02.gif HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:40:54 +0900] "GET /auc/resources/images/D_login_button.gif HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:40:54 +0900] "GET /auc/resources/images/E_register.gif HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:40:54 +0900] "GET /auc/resources/images/F_facebook.gif HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:40:54 +0900] "GET /auc/resources/images/login_naver.jpg HTTP/1.1" 200 7063
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:40:54 +0900] "GET /auc/resources/images/login_kakao.jpg HTTP/1.1" 200 6955
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:40:54 +0900] "GET /auc/resources/images/G_id_search.gif HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:40:54 +0900] "GET /auc/resources/images/H_password_search.gif HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:40:56 +0900] "GET /auc/user/login HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [20/Oct/2017:23:00:48 +0900] "POST /auc/user/login-post HTTP/1.1" 500 28509
