127.0.0.1 - - [18/Nov/2017:14:22:50 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:22:56 +0900] "GET /auc/ HTTP/1.1" 200 7708
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:22:56 +0900] "GET /auc/resources/images/tricycle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:22:57 +0900] "GET /auc/resources/images/food/%EC%88%98%EC%82%B0%EB%AC%BC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:22:57 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:16 +0900] "GET /auc/product/productList?category=all&name=%EC%95%84%EC%82%AC%ED%9E%88%EB%B2%A0%EB%A6%AC HTTP/1.1" 200 9171
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:19 +0900] "GET /auc/product/product/productList?category=fresh HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:24 +0900] "GET /auc/product/product/productList?category=fresh HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:30 +0900] "GET /auc/product/productList?category=fresh HTTP/1.1" 200 35535
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:30 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=19&index=0 HTTP/1.1" 500 3872
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:30 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=16&index=0 HTTP/1.1" 500 4295
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:30 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=18&index=0 HTTP/1.1" 500 3887
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:31 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=17&index=0 HTTP/1.1" 500 4295
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:31 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=15&index=0 HTTP/1.1" 500 3869
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:31 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=14&index=0 HTTP/1.1" 500 4295
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:31 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=13&index=0 HTTP/1.1" 500 4295
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:31 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=12&index=0 HTTP/1.1" 500 4295
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:31 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=11&index=0 HTTP/1.1" 500 4295
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:31 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=10&index=0 HTTP/1.1" 500 4295
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:31 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=9&index=0 HTTP/1.1" 500 4295
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:31 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=8&index=0 HTTP/1.1" 500 4295
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:31 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=7&index=0 HTTP/1.1" 500 4295
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:31 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=6&index=0 HTTP/1.1" 500 4295
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:31 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=5&index=0 HTTP/1.1" 500 4295
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:36 +0900] "GET /auc/product/product/productList?category=drink HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:47 +0900] "GET /auc/product/product/productList?category=drink HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:29 +0900] "GET /auc/product/product/productList?category=drink HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:32 +0900] "GET /auc/product/product/productList?category=drink HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:35 +0900] "GET /auc/product/productList?category=fresh HTTP/1.1" 200 35555
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:35 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=19&index=0 HTTP/1.1" 500 3872
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:35 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=18&index=0 HTTP/1.1" 500 3827
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:36 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=16&index=0 HTTP/1.1" 500 4235
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:36 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=17&index=0 HTTP/1.1" 500 4235
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:36 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=15&index=0 HTTP/1.1" 500 3809
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:36 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=14&index=0 HTTP/1.1" 500 4235
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:36 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=13&index=0 HTTP/1.1" 500 4235
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:36 +0900] "GET /auc/product/productList?category=fresh HTTP/1.1" 200 35555
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:36 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=12&index=0 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:36 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=11&index=0 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:36 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=10&index=0 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:36 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=9&index=0 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:36 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=8&index=0 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:36 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=7&index=0 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:36 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=19&index=0 HTTP/1.1" 500 3812
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:36 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=17&index=0 HTTP/1.1" 500 4235
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:36 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=18&index=0 HTTP/1.1" 500 3827
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:37 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=16&index=0 HTTP/1.1" 500 4235
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:37 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=15&index=0 HTTP/1.1" 500 3809
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:37 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=14&index=0 HTTP/1.1" 500 4235
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:37 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=13&index=0 HTTP/1.1" 500 4235
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:37 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=12&index=0 HTTP/1.1" 500 4235
